<<<<<<< HEAD
Titulo,Data,Nota,Resumo
The Bride!,2026,5.9,"Na Chicago dos anos 30, Frankenstein pede ajuda ao Dr. Euphronius para criar uma companheira. Eles dão vida a uma mulher assassinada como a Noiva, provocando um romance, o interesse da polícia e uma mudança social radical."
War Machine,2026,6.4,Segue os recrutas finais de um extenuante campo de treinamento de operações especiais que enfrentam uma força letal vinda de fora deste mundo.
Hoppers,2026,7.7,"Uma amante dos animais aproveita a oportunidade para usar a tecnologia que coloca sua consciência em um castor robótico, descobrindo mistérios no mundo animal que vão além do que ela poderia ter imaginado."
Scream 7,2026,5.9,"Quando um novo Ghostface surge na pacata cidade onde Sidney Prescott reconstruiu sua vida, seus medos mais sombrios se tornam reais enquanto sua filha se torna o próximo alvo do assassino."
Hamnet,2026,7.9,"Em 1596, Agnes e William Shakespeare perdem seu jovem filho Hamnet. Apesar da dor, Agnes cuida de seus filhos sobreviventes, enquanto William encontra na sua tristeza a inspiração para escrever Hamlet."
Wuthering Heights,2026,6.3,"Uma história de amor apaixonada e tumultuada que tem como pano de fundo os pântanos de Yorkshire, explorando o relacionamento intenso e destrutivo entre Heathcliff e Catherine Earnshaw."
Marty Supreme,2026,7.8,"Mostra a jornada de Marty Reisman, um traficante que se tornou campeão de tênis de mesa e se tornou o mais velho a vencer uma competição nacional de raquete, aos 67 anos."
The Bluff,2026,5.8,Uma mulher caribenha tem seu passado secreto revelado quando sua ilha é invadida por bucaneiros cruéis.
Peaky Blinders: The Immortal Man,2026,7.8,"Durante a Segunda Guerra Mundial, Tommy Shelby retorna à cidade bombardeada de Birmingham e realiza missões secretas enquanto enfrenta ameaças e seu passado."
Sinners,2025,7.5,"Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta."
Cold Storage,2026,6.1,Um fungo armazenado em uma instalação do governo sai e causa estragos no mundo.
One Battle After Another,2025,7.7,"Quando seu inimigo maligno ressurge após 16 anos, um grupo de ex-revolucionários se reúne para resgatar a filha de um dos seus."
Project Hail Mary,2026,N/A,Um astronauta tenta salvar a Terra enquanto está sozinho no espaço sideral.
Nuremberg,2026,7.4,"Em Nuremberg, 1945, um psiquiatra americano avalia 22 nazistas aguardando julgamento por crimes de guerra. Sua proximidade com Hermann Göring e sua busca para entender a natureza do mal o levam a um caminho sem volta."
The Housemaid,2026,6.8,"Uma jovem em dificuldades fica aliviada com a oportunidade de recomeçar sua vida trabalhando como empregada doméstica de um casal rico. Porém, logo descobre que os segredos da família são muito mais perigosos do que os seus."
O Agente Secreto,2025,7.3,"Em 1977, um especialista em tecnologia foge de um passado misterioso e retorna à sua cidade natal, Recife, em busca de paz. Ele logo percebe que a cidade está longe de ser o refúgio que procurava."
Bugonia,2025,7.4,"Um jovem captura e interroga um empresário que ele acredita ser um invasor alienígena. O capturador, sua namorada, o empresário e um detetive particular se envolvem em uma tensa batalha psicológica."
Shelter,2026,6.2,"Um detento em uma remota ilha escocesa resgata uma garota do mar, desencadeando uma sequência perigosa de eventos que culminam em um ataque à sua casa, forçando-a a enfrentar sua história conturbada."
Crime 101,2026,7.1,"Um ladrão prestes a realizar seu último grande golpe cruza o caminho de uma corretora de seguros desiludida. Enquanto os dois se envolvem, um detetive implacável os persegue para impedir o assalto milionário que estão planejando."
Jurassic World: Rebirth,2025,5.8,"Cinco anos após Jurassic World: Domínio (2022), uma expedição desbrava regiões equatoriais isoladas para extrair DNA de três enormes criaturas pré-históricas para um avanço médico inovador."
=======
Titulo,Data,Nota,Resumo
The Bride!,2026,5.9,"Na Chicago dos anos 30, Frankenstein pede ajuda ao Dr. Euphronius para criar uma companheira. Eles dão vida a uma mulher assassinada como a Noiva, provocando um romance, o interesse da polícia e uma mudança social radical."
War Machine,2026,6.4,Segue os recrutas finais de um extenuante campo de treinamento de operações especiais que enfrentam uma força letal vinda de fora deste mundo.
Hoppers,2026,7.7,"Uma amante dos animais aproveita a oportunidade para usar a tecnologia que coloca sua consciência em um castor robótico, descobrindo mistérios no mundo animal que vão além do que ela poderia ter imaginado."
Scream 7,2026,5.9,"Quando um novo Ghostface surge na pacata cidade onde Sidney Prescott reconstruiu sua vida, seus medos mais sombrios se tornam reais enquanto sua filha se torna o próximo alvo do assassino."
Hamnet,2026,7.9,"Em 1596, Agnes e William Shakespeare perdem seu jovem filho Hamnet. Apesar da dor, Agnes cuida de seus filhos sobreviventes, enquanto William encontra na sua tristeza a inspiração para escrever Hamlet."
Wuthering Heights,2026,6.3,"Uma história de amor apaixonada e tumultuada que tem como pano de fundo os pântanos de Yorkshire, explorando o relacionamento intenso e destrutivo entre Heathcliff e Catherine Earnshaw."
Marty Supreme,2026,7.8,"Mostra a jornada de Marty Reisman, um traficante que se tornou campeão de tênis de mesa e se tornou o mais velho a vencer uma competição nacional de raquete, aos 67 anos."
The Bluff,2026,5.8,Uma mulher caribenha tem seu passado secreto revelado quando sua ilha é invadida por bucaneiros cruéis.
Peaky Blinders: The Immortal Man,2026,7.8,"Durante a Segunda Guerra Mundial, Tommy Shelby retorna à cidade bombardeada de Birmingham e realiza missões secretas enquanto enfrenta ameaças e seu passado."
Sinners,2025,7.5,"Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta."
Cold Storage,2026,6.1,Um fungo armazenado em uma instalação do governo sai e causa estragos no mundo.
One Battle After Another,2025,7.7,"Quando seu inimigo maligno ressurge após 16 anos, um grupo de ex-revolucionários se reúne para resgatar a filha de um dos seus."
Project Hail Mary,2026,N/A,Um astronauta tenta salvar a Terra enquanto está sozinho no espaço sideral.
Nuremberg,2026,7.4,"Em Nuremberg, 1945, um psiquiatra americano avalia 22 nazistas aguardando julgamento por crimes de guerra. Sua proximidade com Hermann Göring e sua busca para entender a natureza do mal o levam a um caminho sem volta."
The Housemaid,2026,6.8,"Uma jovem em dificuldades fica aliviada com a oportunidade de recomeçar sua vida trabalhando como empregada doméstica de um casal rico. Porém, logo descobre que os segredos da família são muito mais perigosos do que os seus."
